Country,United States,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Sweden,Switzerland,United Kingdom,Comparable Country Average
1980,73.7,..,72.7,73.3,75.1,74.3,72.9,76.1,75.9,75.8,75.7,73.6,74.54
1981,74.1,74.8,73,73.7,75.5,74.5,73.2,76.5,76.0,76.1,75.9,73.9,74.83
1982,74.5,74.6,73.2,74,75.7,74.8,73.5,76.9,76.1,76.4,76.3,74,75.05
1983,74.6,75.4,73.3,73.9,76.1,74.8,73.8,77,76.3,76.7,76.2,74.3,75.25
1984,74.7,75.7,73.9,74.5,76.4,75.3,74.3,77.4,76.4,76.9,76.9,74.6,75.66
1985,74.7,75.5,74.1,74.6,76.4,75.4,75.1,77.6,76.5,76.8,77,74.5,75.77
1986,74.7,76,74.5,74.8,76.5,75.7,75.3,78.1,76.4,77,77.2,74.8,76.03
1987,74.9,76.2,75,75.4,76.8,76.3,75.8,78.5,76.9,77.2,77.5,75.1,76.43
1988,74.9,76.2,75.5,75.7,76.9,76.6,76,78.4,77.1,77.1,77.5,75.2,76.56
1989,75.1,76.4,75.6,75.7,77.2,76.7,76.1,78.8,76.9,77.8,77.7,75.4,76.75
1990,75.4,76.9,75.8,76.2,77.5,77,77.4,78.9,77.1,77.7,77.5,75.7,77.06
1991,75.5,77.3,75.9,76.3,77.7,77.2,75.7,79.1,77.2,77.8,77.8,75.9,77.08
1992,75.8,77.4,76.1,76.5,77.9,77.5,76.2,79.2,77.4,78.2,78.1,76.2,77.34
1993,75.5,77.9,76.3,76.5,77.8,77.5,76.2,79.4,77.1,78.2,78.4,76.1,77.40
1994,75.7,77.9,76.7,76.8,78,78,76.6,79.8,77.6,78.9,78.7,76.7,77.79
1995,75.8,77.8,76.9,77,78.1,78.1,76.7,79.6,77.6,79,78.7,76.6,77.83
1996,76.1,78.1,77.1,77.3,78.3,78.2,77,80.3,77.6,79.2,79.2,76.8,78.10
1997,76.5,78.4,77.5,77.5,78.5,78.6,77.4,80.5,78,79.4,79.4,77,78.38
1998,76.7,78.6,77.9,77.6,78.7,78.8,77.8,80.6,78.1,79.5,79.6,77.2,78.58
1999,76.7,78.9,78.1,77.7,78.9,78.9,78,80.5,78,79.6,79.9,77.4,78.72
2000,76.8,79.2,78.3,77.9,79.3,79.2,78.3,81.2,78.2,79.8,80,77.8,79.02
2001,77,79.6,78.8,78.1,79.5,79.3,78.6,81.5,78.4,79.9,80.5,78,79.29
2002,77,79.9,78.9,78.2,79.6,79.4,78.6,81.8,78.5,80,80.6,78.2,79.43
2003,77.2,80.2,78.8,78.3,79.8,79.3,78.6,81.8,78.7,80.3,80.7,78.3,79.53
2004,77.6,80.5,79.3,79,80.1,80.4,79.3,82.1,79.3,80.7,81.3,78.8,80.07
2005,77.6,80.8,79.5,79.1,80.2,80.4,79.4,82,79.6,80.7,81.5,79,80.20
2006,77.8,81,80.1,79.5,80.7,81,79.9,82.4,80,81,81.8,79.3,80.61
2007,78.1,81.3,80.3,79.9,80.7,81.3,80.1,82.6,80.4,81.1,82,79.5,80.84
2008,78.2,81.4,80.6,79.8,80.8,81.4,80.2,82.7,80.5,81.3,82.3,79.6,80.96
2009,78.5,81.5,80.5,80.2,81.2,81.6,80.3,83,80.9,81.5,82.3,80.1,81.19
2010,78.7,81.7,80.7,80.3,81.4,81.9,80.5,82.9,81,81.6,82.7,80.4,81.37
2011,78.7,81.9,81.1,80.7,81.6,82.3,80.6,82.7,81.3,81.9,82.8,80.7,81.60
2012,78.8,82,81.1,80.5,81.8,82.1,80.7,83.2,81.2,81.8,82.8,80.8,81.64
2013,78.8,82.1,81.3,80.7,81.8,82.4,80.6,83.4,81.4,82,82.9,80.9,81.77
2014,78.9,82.3,81.6,81.4,81.9,82.9,81.2,83.7,81.8,82.3,83.3,81.1,82.14
2015,78.7,82.4,81.3,81.1,81.9,82.4,80.7,83.9,81.6,82.2,83,80.9,81.95
2016,78.7,82.4,81.8,81.5,82,82.7,81,84.1,81.7,82.4,83.7,81,82.21
2017,78.6,82.5,81.7,81.6,81.9,82.7,81.1,84.2,81.8,82.5,83.7,81.1,82.25
2018,78.7,82.7,81.8,81.7,81.9,82.8,81,84.3,81.9,82.6,83.8,81.1,82.33
2019,78.8,82.9,82,82.1,82.3,83,81.3,84.4,82.2,83.2,84,81.4,82.62
2020,77,83.2,81.3,80.8,81.7,82.3,81.1,84.6,81.4,82.4,83.1,80.4,82.03
2021,76.4,83.3,81.3,81.9,81.6,82.4,80.8,84.5,81.4,83.1,83.9,80.49,82.24
2022,77.5,83.25,81.1,81.8,81.34,82.29,80.7,84.07,81.7,83.1,83.5,80.925,82.16
